,launch,side,boat,crew,men,women,total,cap
1,15/04/1912 0:45,Port,7,3,4,20,27,65
2,15/04/1912 0:55,Port,5,5,6,30,41,65
3,15/04/1912 1:00,Port,3,15,10,25,50,65
4,15/04/1912 1:10,Port,1,7,3,2,12,40
5,15/04/1912 1:20,Port,9,8,6,42,56,65
6,15/04/1912 1:25,Port,11,9,1,60,70,65
7,15/04/1912 1:35,Port,13,5,0,59,64,65
8,15/04/1912 1:35,Port,15,13,4,53,70,65
9,15/04/1912 1:40,Port,C,5,2,64,71,47
10,15/04/1912 0:55,Starboard,6,2,2,24,28,65
11,15/04/1912 1:10,Starboard,8,4,0,35,39,65
12,15/04/1912 1:20,Starboard,10,5,0,50,55,65
13,15/04/1912 1:25,Starboard,12,2,0,40,42,65
14,15/04/1912 1:30,Starboard,14,8,2,53,63,65
15,15/04/1912 1:35,Starboard,16,6,0,50,56,65
16,15/04/1912 1:45,Starboard,2,4,1,21,26,40
17,15/04/1912 1:55,Starboard,4,4,0,36,40,65
18,15/04/1912 2:05,Starboard,D,2,2,40,44,47
